id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-05-28T01:09:23Z,192,0,0,0,13,
1,2026-05-28T02:28:35Z,384,0,0,0,20,
1,2026-05-28T03:56:10Z,276,0,0,0,19,
1,2026-05-28T05:35:51Z,306,0,0,0,20,
1,2026-05-28T07:00:23Z,306,0,0,0,20,
1,2026-05-28T08:27:22Z,162,0,0,0,17,
1,2026-05-28T09:58:04Z,108,0,0,0,15,
1,2026-05-28T11:23:49Z,114,0,0,0,16,
1,2026-05-28T12:47:25Z,138,0,0,0,18,
1,2026-05-28T14:22:52Z,480,0,0,0,20,
1,2026-05-28T15:59:30Z,192,0,0,0,13,
1,2026-05-28T17:26:57Z,192,0,0,0,13,
1,2026-05-28T18:28:59Z,264,0,0,0,18,
1,2026-05-28T19:30:10Z,168,0,0,0,12,
1,2026-05-28T20:26:46Z,228,0,0,0,16,
1,2026-05-28T21:20:11Z,192,0,0,0,13,
1,2026-05-28T22:14:40Z,240,0,0,0,17,
1,2026-05-28T23:03:30Z,384,0,0,0,20,
